job_code,name
2259,리스크 관리
2225,경영관리
2258,CSO
2257,CIO
2205,기획
1624,게임기획
1652,경영분석
1625,경영기획
1653,경영컨설팅
1626,광고기획
1654,경영혁신(PI)
1627,교육기획
1655,금융컨설팅
1656,레벨디자인
1628,기술기획
1657,리서치
1629,마케팅기획
1658,데이터분석
1630,문화기획
1659,사업개발
1631,법인장
1660,사업관리
1632,브랜드기획
1661,사업제휴
1633,사업기획
1634,상품기획
1662,스토리보드
1635,서비스기획
1663,시장조사
1664,신사업기획
1636,앱기획
1665,신사업발굴
1637,웹기획
1666,실적관리
1638,인사기획
1667,엑셀러레이팅
1639,전략기획
1668,예산관리
1640,지점관리자
1669,인큐베이팅
1641,출판기획
1642,컨설턴트
1670,자료조사
1643,행사기획
1671,조직관리
1644,CEO
1672,지속가능경영
1645,COO
1673,창업컨설팅
1646,CTO
1674,타당성검토
1647,IT컨설팅
1675,투자전략
1648,PL(프로젝트리더)
1676,트렌드분석
1677,프로토타이핑
1649,PM(프로젝트매니저)
1678,해외법인관리
1650,PMO
1679,BPR
1651,PO(프로덕트오너)
1680,BSC
1681,CSR
1682,ESG
1683,ISMP
1684,ISP
1685,KPI관리
1686,M&A
1687,MBO
1688,OKR
1689,RFP(제안요청서)
1690,UI/UX
2244,라이센싱
2243,PPL
2242,CBO
2210,홍보
2201,마케팅
1411,병원마케팅
1449,검색광고
1412,마케팅기획
1450,광고주관리
1413,마케팅전략
1451,광고캠페인
1414,블로그마케팅
1452,그로스해킹
1453,매체관리
1415,스포츠마케팅
1454,배너광고
1416,인플루언서마케팅
1455,비딩
1417,체험마케팅
1418,행사기획
1456,사보/뉴스레터
1457,사회조사
1419,SNS마케팅
1458,설문조사
1420,콘텐츠기획
1421,광고마케팅
1459,세일즈프로모션
1422,광고PD
1460,시장조사
1461,언론홍보
1423,글로벌마케팅
1462,옥외광고
1424,기업홍보
1463,이벤트프로모션
1425,디지털마케팅
1426,모바일마케팅
1464,채널관리
1465,키워드광고
1427,미디어플래너
1466,통계/분석
1428,바이럴마케팅
1429,브랜드마케팅
1467,퍼블리시티
1430,비즈니스마케팅
1468,ATL
1431,오프라인마케팅
1469,BTL
1432,온라인마케팅
1470,IMC
1433,제휴마케팅
1471,MCN
1472,MICE
1434,조사원
1473,RFP(제안요청서)
1435,콘텐츠마케팅
1474,SEO
1436,콘텐츠에디터
1437,퍼포먼스마케팅
1438,프로덕트마케팅
1439,AD(아트디렉터)
1440,AE(광고기획자)
1441,AM(어카운트매니저)
1442,B2B마케팅
1443,BM(브랜드매니저)
1444,CD(크리에이티브디렉터)
1445,CMO
1446,CRM마케팅
1447,CW(카피라이터)
1448,MW(메디컬라이터)
2238,행정사
2220,재무
2197,회계
335,더존
321,감사
376,관세법인
322,경리
336,4대보험
377,세관
378,세무법인
323,경리사무원
337,계산서발행
379,세무사사무실
324,공인회계사
338,관리회계
380,해외법인
325,관세사
339,급여(Payroll)
381,회계법인
326,관세사무원
340,기업회계
341,내부감사
382,회계사무실
327,세무사
342,법인결산
328,전산회계
343,법인세신고
329,회계사
344,부가세신고
330,AICPA
345,세무기장
331,CFA
346,세무신고
332,CFO
347,세무조정
333,IR/공시
334,KICPA
348,세무컨설팅
349,세무회계
350,손익관리
351,신고대리
352,연결회계
353,연말정산
354,예산관리
355,외부감사
356,외환관리
357,원가관리
358,원가회계
359,원천세신고
360,자금관리
361,자산관리
362,자산운용
363,자체기장
364,재무기획
365,재무제표
366,재무회계
367,전표입력
368,종합소득세
369,채권관리
370,출납
371,회계결산
372,ERP
373,IFRS
374,IPO
375,NDR
2198,인사
430,노무사
439,급여(Payroll)
431,채용담당자
440,면접/인터뷰
432,잡매니저
441,법정의무교육
433,직업상담사
442,복리후생
434,헤드헌터
443,실적관리
444,아웃소싱
435,ER(노무관리)
436,HR컨설팅
445,온보딩
437,HRD
446,인력관리
447,인사교육
438,HRM
448,인사기획
449,인사행정
450,인재발굴
451,임금협상
452,제증명발급
453,조직문화
454,직업훈련
455,채용공고관리
456,채용대행
457,채용설명회
458,파견관리
459,평가/보상
2215,법무
383,법무사
399,교육행정
384,변리사
400,기술사업화
385,변호사
401,내방객응대
386,비서
402,문서작성
387,사내변호사
403,비품관리
388,사무직
404,사내행사
389,서무
405,사무보조
406,사무행정
390,송무비서
391,법률사무원
407,사이트관리
392,수행기사
408,상표관리
393,수행비서
409,서류관리
394,안내데스크
410,시설관리
395,임원비서
411,인/허가
396,총무
412,자료입력
397,컴플라이언스
413,자료조사
414,자산관리
398,특허명세사
415,전산총무
416,전화응대
417,제증명발급
418,콘텐츠관리
419,타이핑
420,특허관리
421,특허분석
422,특허컨설팅
423,Excel
424,IP(지식재산권)
425,OA
426,PhotoShop
427,PowerPoint
428,정보처리
429,경영지원
2229,SQA
2239,보안관제
2246,BI 엔지니어
2247,개발PM
2248,데이터 사이언티스트
2230,헬스케어
2231,메타버스
2249,클라이언트
2250,HTTP
2251,암호화폐
2252,MMORPG
2253,Dapp
2254,DID
2255,크로스플랫폼
2256,루비온레일즈
2260,3D
2232,풀스택
2233,Solidity
2234,스마트컨트랙트
80,게임개발
103,검색엔진
184,.NET
81,기술지원
104,네트워크
185,그누보드
82,데이터분석가
105,데이터라벨링
186,라즈베리파이
83,데이터엔지니어
106,데이터마이닝
187,쉘스크립트
84,백엔드/서버개발
107,데이터시각화
188,액션스크립트
85,보안컨설팅
108,딥러닝
189,어셈블리
86,앱개발
109,머신러닝
190,와이어샤크
87,웹개발
110,모델링
191,파워빌더
88,웹마스터
111,모의해킹
192,ABAP
89,유지보수
112,미들웨어
193,AIX
90,정보보안
113,반응형웹
194,Ajax
91,퍼블리셔
114,방화벽
195,Android
92,프론트엔드
115,블록체인
196,Angular
93,CISO
116,빅데이터
197,Apache
94,CPO
117,빌링
198,ArcGIS
95,DBA
118,솔루션
199,ASP
96,FAE
119,스크립트
200,ASP.NET
97,GM(게임운영)
120,신경망
201,AWS
98,IT컨설팅
121,악성코드
202,Azure
99,QA/테스터
122,알고리즘
203,Bootstrap
100,SE(시스템엔지니어)
123,영상처리
204,C#
101,SI개발
124,웹표준·웹접근성
102,ICT컨설팅
125,음성인식
206,C언어
126,이미지프로세싱
207,CentOS
127,인프라
208,COBOL
128,임베디드
209,CSS
129,자율주행
210,CSS3
130,정보통신
211,Delphi
131,챗봇
212,Directx
132,취약점진단
213,Django
133,컴퓨터비전
214,Docker
134,크로스브라우징
215,Eclipse
135,크롤링
216,ECMAScript
136,클라우드
217,ElasticStack
137,텍스트마이닝
218,Flask
138,트러블슈팅
219,FLEX
139,펌웨어
220,Flutter
140,플러그인
221,GCP
141,핀테크
222,Git
142,API
223,GoLang
143,APM
224,GraphQL
144,AR(증강현실)
225,Groovy
145,DBMS
226,Gulp
146,DevOps
227,Hadoop
147,DLP
228,HBase
148,DW
229,HTML
149,ERP
230,HTML5
150,ETL
231,IaaS
151,FPGA
232,iBATIS
152,GIS
233,Ionic
153,H/W
234,iOS
154,IDC
235,Java
155,IIS
236,Javascript
156,IoT
237,Jenkins
157,ISMS
238,JPA
